제목,저자,번역,출간일,페이지,판매가
"IT CookBook, 쉽게 배우는 자료구조 with 파이썬",문병로,-,2022-01-16,448,29000
"IT CookBook, 데이터베이스 개론(3판)",김연희,-,2022-01-15,552,29000
"IT CookBook, 디지털 논리회로 실험(2판)","홍경호 , 임석구",-,2022-01-15,468,25000
"IT CookBook, 디지털 논리회로(4판)","임석구 , 홍경호",-,2022-01-15,816,32000
리버스 엔지니어링 기드라 실전 가이드,"나카지마 쇼타 , 고타케 다이치 , 하라 히로아키 , 가와바타 고헤이","이창선 , 임재용",2022-01-10,920,45000
저는 주식투자가 처음인데요(기본편 2022년 개정판),강병욱,-,2022-01-10,432,16650
초등 매일 독서의 힘,이은경,-,2022-01-10,388,15300
맛있는 디자인 포토샵&일러스트레이터 CC 2022,"빨간고래(박정아) , 윤이사라(포완카)",-,2022-01-07,544,19800
1학년 한글 떼기,"하유정 , 김희선(그림)",-,2022-01-05,144,10800
파워포인트 디자인 실무 강의 with 신프로,신프로(신강식),-,2022-01-05,284,16200
AI로 일하는 기술,장동인,-,2022-01-03,392,16200
"Case, Fair, Oster의 경제학원론","Karl E. Case , Ray C. Fair , Sharon M. Oster","박원규 , 이상규",2022-01-03,800,39000
"IT CookBook, C 언어 for Beginner 4판",우재남,-,2022-01-03,536,26000
"IT CookBook, 가상현실의 이해",송은지,-,2022-01-03,288,22000
"IT CookBook, 난생처음 C 언어 프로그래밍",김화수,-,2022-01-03,540,25000
"IT CookBook, 데이터 과학을 위한 파이썬 머신러닝",최성철,-,2022-01-03,508,30000
"IT CookBook, 엑셀과 파워포인트 2019",김지연,-,2022-01-03,548,23000
"IT CookBook, 자바스크립트 프로그래밍 입문(2판)",윤인성,2022-01-03,512 쪽,9791156645887,27000
"IT CookBook, 파이썬 for Beginner(3판)",우재남,-,2022-01-03,524,25000
SRE를 위한 시스템 설계와 구축,"헤더 애드킨스 , 벳시 바이어 , 폴 블랭킨십 , 피오트르 레반도프스키 , 애나 오프레아 , 애덤 스터블필드",장현희,2022-01-03,624,36000
이것이 안드로이드다 with 코틀린(3판),고돈호,2022-01-03,852 쪽,9791162245026,30600
팀장부터 CEO까지 알아야 할 기업 정보보안 가이드,강은성,-,2022-01-03,444,22500
기본 재무관리(제5판),"Jonathan Berk , Peter DeMarzo , Jarrad Harford","선정훈 , 고광수 , 변진호",2021-12-31,912,42000
세밀화로 보는 멸종 동물 도감,"라데크 말리 , 이르지 그르바브치치(그림) , 파벨 드보르스키(그림)",황성연,2021-12-30,92,19800
저는 주식투자가 처음인데요(투자전략편 2022년 개정판),강병욱,2021-12-30,420 쪽,9791157845507,16650
(개발자에게 필요 없는 수학은 없다) 프로그래머를 위한 수학,폴 올랜드,"노희준 , 박종태 , 박한길 , 신정규",2021-12-29,732,42000
금융 전략을 위한 머신러닝,"하리옴 탓샛 , 사힐 푸리 , 브래드 루카보",김한상,2021-12-27,468,31500
"STEM CookBook, 컴퓨팅 사고력을 키우는 이산수학(3판)",박주미,-,2021-12-26,652,29000
그래프QL 인 액션,사메르 부나,김완섭,2021-12-24,484,31500
무던한 개발자를 위한 모던한 자바스크립트,카이 호스트만,우정은,2021-12-20,460,28800
비전 시스템을 위한 딥러닝,모하메드 엘겐디,심효섭,2021-12-20,536,34200
소문난 명강의 : 오준석의 안드로이드 생존코딩_코틀린 편(2판),오준석,2021-12-17,456 쪽,9791162244999,28800
하루 한 장 초등과학 365,치바 가즈요시,"허영은 , 유우종 (감수)",2021-12-14,416,17820
"다시, 배우다",폴 김,-,2021-12-10,304,14400
당당한 디자인 결정을 위한 9가지 방법,톰 그리버,"김민성 , 곽서희",2021-12-10,376,19800
슈퍼 석세스,댄 페냐,"황성연 , 최은아",2021-12-03,516,22500
365 부모 말하기 연습 일력(스프링북),"박재연 , 공인영",-,2021-12-01,384,16200
공학도를 위한 수치해석(8판),"Steven C.Chapra , Raymond P. Canale","나양 , 이승배 , 임윤철",2021-11-30,600,36000
엑셀 매크로&VBA 업무 공략집,최준선,-,2021-11-30,328,19800
데이터 과학자 되는 법,"에밀리 로빈슨 , 재클린 놀리스",이창화,2021-11-26,372,21600
돈 되는 기획,김도균,-,2021-11-26,240,13050
빠르게 찾아 바로 적용하는 엑셀 에센스 사전 100,한은숙,-,2021-11-25,300,16200
초등 어휘력이 공부력이다,박명선,-,2021-11-25,412,16200
만화로 배우는 의학의 역사(개정판),"장 노엘 파비아니 , 필리프 베르코비치 , 김모 , 조한나",2021-11-15,296 쪽,9791157845484,18720
"스토리텔링 우동이즘의 잘 팔리는 웹툰, 웹소설 이야기 만들기",우동이즘(이동우),-,2021-11-15,232,14400
중학교 입학 가이드,배혜림,-,2021-11-11,376,14850
보고서 작성 실무 강의(개정판),홍장표,2021-11-08,400 쪽,9791162244890,16200
비겁한 돈,"황현희 , 제갈현열",-,2021-11-08,248,14400
나도 영문 손글씨 잘 쓰면 소원이 없겠네,윤정희(리제 캘리그라피),-,2021-11-05,240,15120
구글 BERT의 정석,수다르산 라비찬디란,"전희원 , 정승환 , 김형준",2021-11-03,368,30600
1000개 숨은그림찾기 몬스터 : 찾아도 찾아도 끝판왕,김확실,-,2021-11-02,96,7200
1000개 숨은그림찾기 보물찾기 : 찾아도 찾아도 끝판왕,전진희,-,2021-11-02,96,7200
